"07500: Eksamenskarakterer, etter fag, innvandringskategori, år og kjønn"
"fag";"innvandringskategori";"Gjennomsnittlig eksamenskarakter 2026 Begge kjønn";"Gjennomsnittlig eksamenskarakter 2026 Jenter";"Gjennomsnittlig eksamenskarakter 2026 Gutter"
"Norsk sidemål, skriftlig";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";3.3;3.5;3.2
"Norsk sidemål, skriftlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.3;3.6;3.0
"Norsk sidemål, skriftlig";"Den øvrige befolkning";3.5;3.8;3.3
"Norsk, muntlig";"Alle elever";4.5;4.7;4.2
"Norsk, muntlig";"Innvandrere";4.0;4.2;3.7
"Norsk, muntlig";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";4.3;4.7;4.0
"Norsk, muntlig";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.8;4.0;3.6
"Norsk, muntlig";"Norskfødte med innvandrerforeldre";4.3;4.6;4.0
"Norsk, muntlig";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";4.6;4.8;4.5
"Norsk, muntlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";4.2;4.5;3.9
"Norsk, muntlig";"Den øvrige befolkning";4.5;4.8;4.2
"Kristendom, religion, livssyn og etikk, muntlig";"Alle elever";4.4;4.7;4.2
"Kristendom, religion, livssyn og etikk, muntlig";"Innvandrere";4.0;4.3;3.8
"Kristendom, religion, livssyn og etikk, muntlig";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";4.4;4.6;4.1
"Kristendom, religion, livssyn og etikk, muntlig";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.9;4.1;3.7
"Kristendom, religion, livssyn og etikk, muntlig";"Norskfødte med innvandrerforeldre";4.4;4.6;4.1
"Kristendom, religion, livssyn og etikk, muntlig";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";4.4;4.8;4.0
"Kristendom, religion, livssyn og etikk, muntlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";4.4;4.6;4.1
"Kristendom, religion, livssyn og etikk, muntlig";"Den øvrige befolkning";4.5;4.7;4.3
"Samfunnsfag, muntlig";"Alle elever";4.5;4.6;4.3
"Samfunnsfag, muntlig";"Innvandrere";4.0;4.1;3.9
"Samfunnsfag, muntlig";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";4.2;4.3;4.1
"Samfunnsfag, muntlig";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.9;4.0;3.8
"Samfunnsfag, muntlig";"Norskfødte med innvandrerforeldre";4.3;4.4;4.2
"Samfunnsfag, muntlig";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";4.4;4.5;4.3
"Samfunnsfag, muntlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";4.2;4.4;4.1
"Samfunnsfag, muntlig";"Den øvrige befolkning";4.6;4.7;4.4
